No.,Vehicle W/0 Engine,Engine
1,"AUDI 90  1994-1995
AUDI A4  1996-2001
AUDI A4  1997
AUDI A4  1997-2001
AUDI CABRIOLET  1994-1998
AUDI S4  2000-2002
VOLKSWAGEN PASSAT  1998-2001","1.8L L4 Turbocharged
2.7L V6 Turbocharged
2.8L V6
2.8L V6 DOHC
2.8L V6 SOHC"
10,HONDA PRELUDE  1999-2001,2.2L L4
11,INFINITI Q45  1997-2001,4.1L V8
12,"AUDI A8  1997-1999
AUDI A8  1997-2003
AUDI S8  2001-2003","3.7L V8
4.2L V8"
13,"BMW 740I  1995
BMW 740I  1997-2001
BMW 740IL  1995
BMW 740IL  1996-2001
BMW 750IL  1995-2001","4.0L V8
4.4L V8
5.4L V12"
14,"SAAB 900  1990
SAAB 900  1990-1993
SAAB 900  1991-1993","2.0L L4
2.0L L4 Turbocharged
2.1L L4"
15,"VOLKSWAGEN PASSAT  1996
VOLKSWAGEN PASSAT  1996-1997","1.9L L4 DIESEL Turbocharged
2.0L L4
2.8L V6"
16,"MERCEDES-BENZ 300SD  1992-1993
MERCEDES-BENZ 300SE  1992-1993
MERCEDES-BENZ 400SE  1992
MERCEDES-BENZ 400SEL  1993
MERCEDES-BENZ 500SEL  1992-1993
MERCEDES-BENZ 600SEC  1993
MERCEDES-BENZ 600SEL  1992-1993
MERCEDES-BENZ CL500  1998-1999
MERCEDES-BENZ CL600  1998-1999
MERCEDES-BENZ S320  1994-1999
MERCEDES-BENZ S350  1994-1995
MERCEDES-BENZ S420  1994-1999
MERCEDES-BENZ S500  1994-1999
MERCEDES-BENZ S600  1994-1999
MERCEDES-BENZ SL500  1994
MERCEDES-BENZ SL600  1994","3.2L L6
3.4L L6 DIESEL Turbocharged
4.2L V8
5.0L V8
6.0L V12"
17,AUDI A6  1995-1997,2.8L V6
18,"SUBARU BAJA  2003-2006
SUBARU BAJA  2004-2006
SUBARU LEGACY  2000-2004
SUBARU OUTBACK  2000-2004
SUBARU OUTBACK  2001-2004","2.5L H4
2.5L H4 Turbocharged
3.0L H6"
19,"AUDI A6  1998
AUDI A6  1999-2000
AUDI A6  2000","2.7L V6 Turbocharged
2.8L V6
2.8L V6 DOHC
2.8L V6 SOHC
4.2L V8"
